에어,,,,NNP,*,F,에어,*,*,*,*
마사지기,,,,NNP,*,F,마사지기,*,*,*,*
피규어,,,,NNP,*,F,피규어,*,*,*,*
PS,,,,NNP,*,F,PS,*,*,*,*
PS4,,,,NNP,*,F,PS4,*,*,*,*
PS3,,,,NNP,*,F,PS3,*,*,*,*
PS2,,,,NNP,*,F,PS2,*,*,*,*
리모컨,,,,NNP,*,F,리모컨,*,*,*,*
